"species","longitude","latitude","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"Tapirus terrestris",-76.361381,-0.528356,25.0852088928223,9.39133262634277,86.8080825805664,52.1795082092285,30.5655002593994,19.7469997406006,10.8185005187988,24.7137088775635,25.5475006103516,25.6443328857422,24.3656673431396,3327,356,203,18.1683826446533,1018,636,700,892
"Tapirus terrestris",-55.423228,-11.828912,24.9228649139404,13.4866456985474,70.6328964233398,62.7778816223145,33.9252510070801,14.8312501907349,19.0940017700195,24.986665725708,24.1229591369629,25.4970417022705,24.0825004577637,1884,325,1,80.6960296630859,910,21,496,47
"Tapirus terrestris",-53.950143,-27.09786,19.5760726928711,11.8882293701172,52.6534576416016,391.377075195312,30.5442504882812,7.96600008010864,22.5782508850098,16.7103748321533,15.8222913742065,24.1817512512207,14.7786664962769,1851,189,133,11.0857286453247,500,417,467,441
"Tapirus terrestris",-55.959141,-16.30397,25.1578960418701,11.4042081832886,63.9016571044922,170.477310180664,32.9997482299805,15.1532497406006,17.8464984893799,26.4320411682129,22.69362449646,26.5195407867432,22.69362449646,1377,223,17,68.7740707397461,631,56,489,56
"Tapirus terrestris",-56.466779,-21.186199,23.5191974639893,11.9576873779297,61.7497596740723,273.229705810547,32.0927505493164,12.7279996871948,19.3647499084473,26.1946678161621,19.9033737182617,26.324291229248,19.9033737182617,1358,184,42,42.0982284545898,510,148,499,148
"Tapirus terrestris",-52.88226,-18.309031,21.4893436431885,12.583104133606,67.5893249511719,166.607604980469,29.2452507019043,10.6282501220703,18.617000579834,22.6412086486816,19.2110004425049,22.8685417175293,19.0370826721191,1601,303,22,70.0155410766602,757,75,573,109
"Tapirus terrestris",-63.984968,-17.219848,24.6021347045898,10.7013959884644,63.702579498291,223.042282104492,32.0192489624023,15.2202501296997,16.798999786377,26.6760005950928,21.468957901001,26.6760005950928,21.468957901001,1887,305,63,51.7305908203125,827,230,827,230
"Tapirus terrestris",-77.324461,0.388399,23.2583026885986,9.09047889709473,91.1668853759766,29.5462512969971,28.2472496032715,18.2759990692139,9.97125053405762,22.9841251373291,23.4698753356934,23.5653743743896,22.8522911071777,2975,317,192,17.7564830780029,923,595,705,875
"Tapirus terrestris",-70.478256,5.386038,27.0053863525391,9.6548957824707,72.8204193115234,100.534797668457,34.827751159668,21.5692501068115,13.2585010528564,25.7737083435059,27.7918758392334,28.2946243286133,25.7737083435059,2618,484,17,70.1283416748047,1210,99,116,1210
"Tapirus terrestris",-68.850201,-12.591436,25.3383636474609,10.3479375839233,71.5204544067383,103.466285705566,31.8977489471436,17.4292488098145,14.4685001373291,26.0332069396973,23.8845825195312,26.2302074432373,23.8403339385986,2020,306,52,58.8191413879395,877,165,650,202
